turn,symbol,expected_file,policy,chars,tokens,system_tokens,tool_tokens,memory_tokens,retrieval_tokens,query_tokens,build_ms,file_hit,symbol_hit
1,TestIsSimplePath,algorithms/tests/test_simple_paths.py,full_repo_upper_bound,6522923,1630731,46,8456,0,1622184,45,6.446705999906044,1,1
1,TestIsSimplePath,algorithms/tests/test_simple_paths.py,raw_grep_agent,59428,14858,46,8456,0,6311,45,2.4772589999884076,1,1
1,TestIsSimplePath,algorithms/tests/test_simple_paths.py,graph_retrieval_only,40485,10122,46,8456,0,1575,45,0.1268510000045353,1,1
1,TestIsSimplePath,algorithms/tests/test_simple_paths.py,compact_state_only,29693,7425,56,1013,0,6311,45,2.144218000012188,1,1
1,TestIsSimplePath,algorithms/tests/test_simple_paths.py,token_min_hybrid,9551,2389,56,1013,0,1275,45,0.13032599997586658,1,1
2,test_non_repeated_cuts,algorithms/connectivity/tests/test_kcutsets.py,full_repo_upper_bound,6524687,1631173,46,8456,440,1622184,47,5.8563769999864235,1,1
2,test_non_repeated_cuts,algorithms/connectivity/tests/test_kcutsets.py,raw_grep_agent,44994,11250,46,8456,440,2261,47,2.407142999913958,1,1
2,test_non_repeated_cuts,algorithms/connectivity/tests/test_kcutsets.py,graph_retrieval_only,41335,10335,46,8456,440,1346,47,0.1493450000680241,1,1
2,test_non_repeated_cuts,algorithms/connectivity/tests/test_kcutsets.py,compact_state_only,15280,3822,56,1013,445,2261,47,1.923055000020213,1,1
2,test_non_repeated_cuts,algorithms/connectivity/tests/test_kcutsets.py,token_min_hybrid,9727,2434,56,1013,445,873,47,0.06666000001587236,1,1
3,test_is_branching_empty_graph_raises,algorithms/tree/tests/test_recognition.py,full_repo_upper_bound,6526496,1631625,46,8456,889,1622184,50,1.2331369999856179,1,1
3,test_is_branching_empty_graph_raises,algorithms/tree/tests/test_recognition.py,raw_grep_agent,42345,10588,46,8456,889,1147,50,1.6639159999840558,1,1
3,test_is_branching_empty_graph_raises,algorithms/tree/tests/test_recognition.py,graph_retrieval_only,41104,10277,46,8456,889,836,50,0.48999800003457494,1,1
3,test_is_branching_empty_graph_raises,algorithms/tree/tests/test_recognition.py,compact_state_only,12631,3160,56,1013,894,1147,50,1.528830999973252,1,1
3,test_is_branching_empty_graph_raises,algorithms/tree/tests/test_recognition.py,token_min_hybrid,11390,2849,56,1013,894,836,50,0.3530509999336573,1,1
